BID NO,Items,Quantity,Address,Start Date,Start Time,End Time,End Time
GEM/2019/B/226031,Human Resource Outsourcing Service,57,Ministry Of Finance Department Of Revenue Headquarters Directorate Of Enforcement,06-05-2019, 10:00 AM,20-05-2019, 12:00 AM
GEM/2019/B/226098,Security Manpower Service,9,"Ministry Of Coal Materials Management Headquarters Office, Dhanbad Coal Mines Provident Fund Organisation (cmpfo)",02-05-2019, 08:56 PM,20-05-2019, 12:00 AM
GEM/2019/B/226419,Vehicle Hiring Service - SUV/ MUV,1,"Ministry Of Finance Department Of Revenue Dggsti, Guwahati Zonal Unit Central Board Of Excise And Customs (cbec)",03-05-2019, 01:16 PM,20-05-2019, 12:00 AM
GEM/2019/B/226830,Security Manpower Service,1,"Ministry Of Coal Materials Management Headquarters Office, Dhanbad Coal Mines Provident Fund Organisation (cmpfo)",03-05-2019, 06:29 PM,20-05-2019, 12:00 AM
GEM/2019/B/227561,Human Resource Outsourcing Service,51,Ministry Of Finance Department Of Revenue Headquarters Directorate Of Enforcement,06-05-2019, 10:19 AM,20-05-2019, 12:00 AM
GEM/2019/B/228172,Human Resource Outsourcing Service,4,Ministry Of Finance Department Of Financial Services Debts Recovery Tribunal Siliguri N/a,06-05-2019, 04:33 PM,20-05-2019, 12:00 AM
GEM/2019/B/228200,Security Manpower Service,2,Ministry Of Finance Department Of Financial Services Debts Recovery Tribunal Siliguri N/a,06-05-2019, 04:40 PM,20-05-2019, 12:00 AM
GEM/2019/B/228208,Human Resource Outsourcing Service,2,Ministry Of Finance Department Of Financial Services Debts Recovery Tribunal Siliguri N/a,06-05-2019, 04:45 PM,20-05-2019, 12:00 AM
GEM/2019/B/222707,Vehicle Hiring Service - SUV/ MUV,1,"Ministry Of Finance Department Of Revenue Central Tax Audit Commissionerate, Durgapur Central Board Of Excise And Customs (cbec)",26-04-2019, 12:20 PM,20-05-2019, 09:00 AM
GEM/2019/B/231557,Vehicle Hiring Service (Short Term),2,Ministry Of Information And Broadcasting Na Regional Office Press Information Bureau (pib),10-05-2019, 04:52 PM,20-05-2019, 09:00 AM
